Date,Day,8:00,9:00,10:00,11:00,12:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,max
3/9/14,Sun,0,0,0,0,2,2,2,5,6,6,5,1,2,4,4,1,6
3/10/14,Mon,0,2,3,6,4,3,6,4,3,3,4,2,1,4,2,0,6
3/11/14,Tue,0,3,2,3,2,4,6,10,12,10,10,6,5,4,3,0,12
3/12/14,Wed,0,2,1,3,5,6,9,13,13,12,14,12,12,5,4,1,14
3/13/14,Thu,0,2,6,9,8,8,9,7,5,4,3,4,3,2,2,2,9
3/14/14,Fri,0,2,3,2,2,4,4,4,5,3,2,0,0,0,0,0,5
3/15/14,Sat,0,0,0,0,3,7,9,9,5,2,2,0,0,0,0,0,9
3/16/14,Sun,0,0,0,0,4,12,18,9,17,15,11,13,12,15,9,5,18
3/17/14,Mon,5,7,22,33,42,37,34,44,33,32,27,32,33,35,24,11,44
3/18/14,Tue,5,12,22,24,30,34,39,51,40,31,18,24,26,24,23,18,51
3/19/14,Wed,2,7,26,28,27,46,52,41,51,46,28,29,23,28,22,15,52
3/20/14,Thu,1,7,20,24,30,51,39,46,44,38,26,18,15,14,12,12,51
3/21/14,Fri,2,15,22,22,25,33,18,25,32,19,15,0,0,0,0,0,33
3/22/14,Sat,0,0,0,0,9,14,25,32,28,21,8,0,0,0,0,0,32
3/23/14,Sun,0,0,0,0,9,17,25,41,38,45,31,23,21,25,22,19,45
3/24/14,Mon,3,6,34,40,49,44,52,57,61,57,34,33,36,39,34,24,61
3/25/14,Tue,4,10,23,37,43,34,51,61,56,40,37,28,32,39,33,20,61
3/26/14,Wed,5,9,25,34,39,32,40,53,59,52,38,30,24,22,24,16,59
3/27/14,Thu,1,23,34,37,43,53,44,42,53,54,29,21,20,23,22,15,54
3/28/14,Fri,4,8,19,26,30,30,30,26,14,10,7,0,0,0,0,0,30
3/29/14,Sat,0,0,0,0,6,21,52,36,32,29,21,0,0,0,0,0,52
3/30/14,Sun,0,0,0,0,11,21,43,39,49,46,38,42,29,0,0,0,49
3/31/14,Mon,2,25,29,39,43,48,52,56,53,49,37,45,49,48,39,33,56
4/1/14,Tue,2,17,26,33,53,55,44,45,45,45,41,36,42,38,25,14,55
4/2/14,Wed,1,7,28,49,40,65,67,59,62,47,24,20,26,32,29,19,67
4/3/14,Thu,4,10,22,32,31,53,47,44,42,28,21,21,20,18,15,13,53
4/4/14,Fri,1,11,25,30,28,30,26,22,22,10,15,0,0,0,0,0,30
4/5/14,Sat,0,0,0,5,17,29,35,44,42,34,38,0,0,0,0,0,44
4/6/14,Sun,0,0,0,0,7,26,38,36,45,41,37,50,38,36,32,16,50
4/7/14,Mon,5,14,34,36,46,48,48,62,61,42,39,34,53,52,33,20,62
4/8/14,Tue,3,17,17,26,38,64,65,75,69,41,27,26,36,45,50,22,75
4/9/14,Wed,12,28,48,54,45,48,54,51,83,74,58,51,53,68,40,21,83
4/10/14,Thu,9,30,39,39,54,49,59,66,59,46,37,37,31,20,9,8,66
4/11/14,Fri,18,19,25,30,36,29,42,38,31,26,7,0,0,0,0,0,42
4/12/14,Sat,0,0,0,2,12,4,8,12,16,13,8,0,0,0,0,0,16
4/13/14,Sun,0,0,0,0,4,13,31,29,28,28,29,19,23,28,28,21,31
4/14/14,Mon,1,5,25,30,28,34,53,48,47,42,45,37,45,45,39,19,53
4/15/14,Tue,5,8,23,26,37,39,40,40,40,29,21,20,28,29,28,20,40
4/16/14,Wed,0,4,16,29,38,45,36,42,51,37,24,22,23,30,27,18,51
4/17/14,Thu,2,2,22,28,33,34,42,54,51,34,18,13,17,13,9,4,54
4/18/14,Fri,2,6,16,31,36,26,29,28,26,18,14,0,0,0,0,0,36
4/19/14,Sat,0,0,0,7,10,15,20,21,24,27,15,0,0,0,0,0,27
4/20/14,Sun,0,0,0,0,6,16,19,15,22,21,20,11,8,5,5,5,22
4/21/14,Mon,4,3,15,13,11,20,21,19,12,23,17,17,16,21,18,10,23
4/22/14,Tue,5,6,28,35,37,41,45,54,35,33,24,21,26,33,31,22,54
4/23/14,Wed,5,7,14,38,44,50,51,53,58,65,27,31,27,38,36,22,65
4/24/14,Thu,2,10,19,39,51,47,49,58,52,49,28,24,29,24,22,17,58
4/25/14,Fri,3,13,15,33,32,25,21,37,23,15,14,0,0,0,0,0,37
4/26/14,Sat,0,0,0,4,9,16,25,23,21,20,13,0,0,0,0,0,25
4/27/14,Sun,0,0,0,0,12,21,36,48,63,55,49,45,35,39,29,17,63
4/28/14,Mon,1,7,15,30,44,54,46,48,56,55,50,39,37,43,35,21,56
4/29/14,Tue,2,9,22,35,41,52,41,47,54,51,38,41,45,49,4,25,54
4/30/14,Wed,5,9,23,33,61,63,62,60,55,51,31,33,33,32,29,13,63
5/1/14,Thu,1,11,24,40,46,42,51,62,52,60,47,35,30,47,0,0,62
5/2/14,Fri,0,6,17,36,45,58,64,70,70,57,64,32,33,22,0,0,70
5/3/14,Sat,0,0,0,12,53,60,72,75,81,68,55,39,29,19,0,0,81
5/4/14,Sun,0,0,0,0,45,60,87,94,100,91,83,75,40,37,25,16,100
5/5/14,Mon,3,5,55,74,79,106,109,108,123,101,97,64,71,71,65,39,123
5/6/14,Tue,9,16,43,76,74,71,81,80,83,61,50,43,39,33,40,25,83
5/7/14,Wed,3,21,26,58,60,62,61,60,61,51,40,33,30,36,28,22,62
5/8/14,Thu,3,10,30,34,22,25,49,31,27,18,23,23,19,16,12,8,49
5/9/14,Fri,2,8,11,16,17,14,8,8,5,8,6,0,0,0,0,0,17
5/10/14,Sat,0,0,0,5,6,6,7,2,3,4,3,0,0,0,0,0,7
5/11/14,Sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/12/14,Mon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/13/14,Tue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/14/14,Wed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/15/14,Thu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/16/14,Fri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/17/14,Sat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/18/14,Sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/19/14,Mon,0,2,2,7,5,9,7,11,11,11,2,2,3,1,0,0,11
5/20/14,Tue,2,2,4,7,6,8,9,13,11,11,10,8,5,2,0,0,13
5/21/14,Wed,3,5,11,15,15,19,16,22,20,20,14,7,7,4,0,0,22
5/22/14,Thu,4,5,10,13,12,7,12,6,9,12,6,3,1,1,0,0,13
5/23/14,Fri,1,3,3,4,6,4,1,7,6,0,0,0,0,0,0,0,7
5/24/14,Sat,0,0,0,1,7,10,3,4,8,0,0,0,0,0,0,0,10
5/25/14,Sun,0,0,0,0,1,3,3,5,8,11,9,7,7,3,0,0,11
5/26/14,Mon,1,2,6,7,5,7,8,13,11,6,5,4,2,1,0,0,13
5/27/14,Tue,0,3,6,14,16,10,16,7,8,8,5,4,4,4,0,0,16
5/28/14,Wed,2,4,15,16,17,16,12,14,14,16,8,3,4,5,0,0,17
5/29/14,Thu,3,5,7,15,11,14,23,25,18,13,5,4,3,0,0,0,25
5/30/14,Fri,2,2,5,12,9,11,7,7,10,0,0,0,0,0,0,0,12
5/31/14,Sat,0,0,0,2,1,3,6,7,8,0,0,0,0,0,0,0,8
6/1/14,Sun,0,0,0,0,2,8,8,12,14,16,11,6,5,4,0,0,16
6/2/14,Mon,0,2,10,15,15,13,13,10,10,5,4,2,3,2,0,0,15
6/3/14,Tue,3,4,4,6,7,16,10,12,15,13,6,5,4,3,0,0,16
6/4/14,Wed,0,2,7,7,10,13,12,18,17,12,1,1,2,2,0,0,18
6/5/14,Thu,2,3,4,7,8,16,12,13,10,10,5,5,0,0,0,0,16
6/6/14,Fri,0,2,6,7,4,4,8,7,5,0,0,0,0,0,0,0,8
6/7/14,Sat,0,0,0,2,2,2,6,8,6,0,0,0,0,0,0,0,8
6/8/14,Sun,0,0,0,0,1,3,3,7,8,5,5,5,5,4,0,0,8
6/9/14,Mon,3,6,16,16,24,11,13,16,18,16,10,6,5,2,0,0,24
6/10/14,Tue,3,4,3,8,12,13,16,17,12,17,8,7,7,7,0,0,17
6/11/14,Wed,3,3,8,11,8,14,20,12,12,10,8,4,7,5,0,0,20
6/12/14,Thu,2,3,10,13,17,8,9,12,7,6,3,1,3,5,0,0,17
6/13/14,Fri,0,0,8,4,3,5,9,9,7,0,0,0,0,0,0,0,9
6/14/14,Sat,0,0,0,1,2,5,7,4,5,0,0,0,0,0,0,0,7
6/15/14,Sun,0,0,0,0,1,3,4,4,7,9,8,8,7,5,0,0,9
6/16/14,Mon,0,3,12,11,11,10,14,13,19,51,11,9,7,5,0,0,51
6/17/14,Tue,2,2,3,5,9,17,13,15,17,16,7,6,6,4,0,0,17
6/18/14,Wed,1,3,8,9,12,15,18,14,13,12,11,8,6,10,0,0,18
6/19/14,Thu,3,5,10,14,11,14,11,8,8,7,3,3,1,1,0,0,14
6/20/14,Fri,4,3,1,4,5,1,2,1,8,0,0,0,0,0,0,0,8
6/21/14,Sat,0,0,0,2,3,5,7,4,4,0,0,0,0,0,0,0,7
6/22/14,Sun,0,0,0,0,1,3,0,7,6,6,3,3,3,2,0,0,7
6/23/14,Mon,0,2,6,15,14,16,11,17,15,12,6,2,4,5,0,0,17
6/24/14,Tue,3,2,6,9,9,9,13,11,10,9,6,7,4,5,0,0,13
6/25/14,Wed,2,4,7,1,3,6,10,8,9,12,10,9,7,5,0,0,12
6/26/14,Thu,0,2,6,9,13,14,15,18,19,21,8,2,4,6,0,0,21
6/27/14,Fri,4,3,2,5,4,4,7,8,6,0,0,0,0,0,0,0,8
6/28/14,Sat,0,0,0,1,0,2,2,3,4,0,0,0,0,0,0,0,4
6/29/14,Sun,0,0,0,0,0,3,7,4,8,6,2,3,5,1,0,0,8
6/30/14,Mon,0,1,3,9,8,8,7,9,10,6,3,5,2,0,0,0,10
7/1/14,Tue,0,3,5,6,6,9,15,13,13,10,7,8,4,1,0,0,15
7/2/14,Wed,2,1,5,7,10,10,11,16,14,13,6,4,4,3,0,0,16
7/3/14,Thu,1,4,5,6,8,5,11,10,11,9,2,3,2,1,0,0,11
7/4/14,Fri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/5/14,Sat,0,0,0,2,3,2,4,6,4,0,0,0,0,0,0,0,6
7/6/14,Sun,0,0,0,0,3,2,5,8,8,11,7,4,4,4,0,0,11
7/7/14,Mon,1,4,5,8,8,12,16,22,24,22,10,12,5,1,0,0,24
7/8/14,Tue,3,3,2,8,13,12,13,19,12,12,11,8,4,2,0,0,19
7/9/14,Wed,2,1,1,12,13,9,13,15,8,9,8,0,0,0,0,0,15
7/10/14,Thu,2,3,4,15,11,14,13,12,10,14,7,5,3,0,0,0,15
7/11/14,Fri,1,2,4,5,7,10,17,15,4,0,0,0,0,0,0,0,17
7/12/14,Sat,0,0,0,0,5,3,5,5,2,0,0,0,0,0,0,0,5
7/13/14,Sun,0,0,0,0,1,4,5,7,6,4,7,4,4,0,0,0,7
7/14/14,Mon,1,2,2,3,9,12,15,13,12,8,4,2,1,0,0,0,15
7/15/14,Tue,2,3,4,4,11,5,14,1,12,7,3,3,3,1,0,0,14
7/16/14,Wed,2,3,4,7,12,10,9,10,7,5,5,5,4,5,0,0,12
7/17/14,Thu,0,3,7,10,10,12,11,12,13,9,4,3,2,2,0,0,13
7/18/14,Fri,0,0,3,4,6,7,11,12,5,0,0,0,0,0,0,0,12
7/19/14,Sat,0,0,0,3,4,4,7,5,4,0,0,0,0,0,0,0,7
7/20/14,Sun,0,0,0,0,0,3,7,9,16,15,13,11,9,7,0,0,16
7/21/14,Mon,2,4,9,16,12,13,11,14,9,12,6,0,0,0,0,0,16
7/22/14,Tue,3,4,5,11,9,9,17,16,16,8,4,6,3,0,0,0,17
7/23/14,Wed,2,2,5,7,6,9,8,9,10,17,12,7,5,4,0,0,17
7/24/14,Thu,3,4,11,13,16,15,8,7,14,10,7,6,3,0,0,0,16
7/25/14,Fri,1,0,1,4,5,5,6,5,5,0,0,0,0,0,0,0,6
7/26/14,Sat,0,0,0,1,3,4,6,5,8,0,0,0,0,0,0,0,8
7/27/14,Sun,0,0,0,0,3,4,7,7,6,5,5,4,3,0,0,0,7
7/28/14,Mon,2,3,11,7,11,16,16,15,14,12,10,8,7,4,0,0,16
7/29/14,Tue,3,4,5,7,14,10,12,10,21,12,9,9,8,3,0,0,21
7/30/14,Wed,4,5,6,8,10,8,7,9,9,4,5,4,4,3,0,0,10
7/31/14,Thu,2,4,7,11,10,10,9,9,13,12,5,7,6,2,0,0,13
8/1/14,Fri,2,3,6,7,3,4,4,4,4,0,0,0,0,0,0,0,7
8/2/14,Sat,0,0,0,0,1,4,5,2,3,0,0,0,0,0,0,0,5
8/3/14,Sun,0,0,0,0,6,9,7,9,10,7,6,9,4,4,0,0,10
8/4/14,Mon,4,7,8,8,15,13,12,14,16,21,20,11,7,5,0,0,21
8/5/14,Tue,3,3,1,10,15,14,11,14,16,16,6,7,8,0,0,0,16
8/6/14,Wed,2,4,6,11,15,13,19,11,17,23,12,10,8,0,0,0,23
8/7/14,Thu,3,4,7,17,16,15,13,15,18,11,2,3,2,3,0,0,18
8/8/14,Fri,2,0,1,5,5,10,11,6,2,0,0,0,0,0,0,0,11
8/9/14,Sat,0,0,0,1,2,2,4,4,3,0,0,0,0,0,0,0,4
8/10/14,Sun,0,0,0,0,4,4,5,7,5,2,0,0,1,1,0,0,7
8/11/14,Mon,1,4,5,5,4,3,4,4,3,4,4,2,2,0,0,0,5
8/12/14,Tue,3,1,2,6,3,5,7,5,4,4,5,4,4,2,0,0,7
8/13/14,Wed,2,0,1,3,3,2,2,1,0,0,1,1,2,2,0,0,3
8/14/14,Thu,1,2,3,3,1,2,3,3,4,6,3,5,1,0,0,0,6
8/15/14,Fri,2,3,3,3,2,3,2,5,2,0,0,0,0,0,0,0,5
8/16/14,Sat,0,0,0,4,2,3,1,1,1,0,0,0,0,0,0,0,4
8/17/14,Sun,0,0,0,0,4,4,6,4,5,7,4,2,3,1,0,0,7
8/18/14,Mon,2,3,3,3,5,7,1,3,5,5,4,4,1,0,0,0,7
8/19/14,Tue,2,2,2,3,2,5,5,6,2,4,4,1,1,1,0,0,6
8/20/14,Wed,1,2,4,5,3,4,5,5,2,4,3,1,0,1,0,0,5
8/21/14,Thu,2,1,3,4,3,2,3,5,6,7,3,1,1,0,0,0,7
8/22/14,Fri,0,2,3,2,1,1,8,5,2,0,0,0,0,0,0,0,8
8/23/14,Sat,0,0,0,3,2,1,5,2,2,0,0,0,0,0,0,0,5
8/24/14,Sun,0,0,0,0,1,3,3,3,3,5,3,1,0,1,0,0,5
8/25/14,Mon,3,1,2,3,2,2,4,4,5,5,6,2,1,1,0,0,6
8/26/14,Tue,2,2,3,3,2,3,2,7,13,2,6,1,0,0,0,0,13
8/27/14,Wed,1,11,18,5,6,7,0,6,0,4,9,0,0,0,0,0,18
8/28/14,Thu,3,5,6,11,15,13,14,12,8,4,2,2,2,0,0,0,15
8/29/14,Fri,5,12,4,6,4,5,9,8,7,0,0,0,0,0,0,0,12
8/30/14,Sat,0,0,0,0,1,2,5,6,2,0,0,0,0,0,0,0,6
8/31/14,Sun,0,0,0,0,2,3,3,3,3,4,1,2,3,2,0,0,4
9/1/14,Mon,1,2,6,6,7,9,12,8,9,8,6,5,3,3,0,0,12
9/2/14,Tue,6,8,18,26,19,31,29,28,26,25,11,13,12,6,1,1,31
9/3/14,Wed,4,14,15,43,27,19,27,29,36,30,25,19,14,6,5,0,43
9/4/14,Thu,5,19,22,22,24,47,48,49,33,17,14,13,10,8,7,5,49
9/5/14,Fri,7,13,28,33,24,26,20,17,16,10,7,0,0,0,0,0,33
9/6/14,Sat,0,0,0,0,2,9,13,15,15,13,16,6,0,0,0,0,16
9/7/14,Sun,0,0,0,0,15,19,23,33,31,39,30,22,20,0,0,0,39
9/8/14,Mon,6,14,22,37,34,41,35,38,42,34,27,21,17,16,11,9,42
9/9/14,Tue,3,15,23,35,36,38,40,42,35,27,19,13,14,15,16,12,42
9/10/14,Wed,10,17,18,41,42,43,34,52,36,24,27,25,21,22,13,5,52
9/11/14,Thu,3,7,25,32,27,37,42,47,29,24,17,16,8,12,7,4,47
9/12/14,Fri,3,8,17,20,19,19,29,25,20,17,9,9,0,0,0,0,29
9/13/14,Sat,0,0,0,0,16,22,27,31,23,24,18,15,0,0,0,0,31
9/14/14,Sun,0,0,0,0,15,24,45,46,40,41,34,26,19,0,0,0,46
9/15/14,Mon,5,21,32,31,29,29,36,44,40,31,22,16,19,24,23,13,44
9/16/14,Tue,5,14,28,29,34,47,49,47,46,43,33,27,30,16,13,11,49
9/17/14,Wed,4,12,25,36,45,46,34,45,29,24,27,32,40,31,28,10,46
9/18/14,Thu,10,18,24,31,39,48,46,36,32,35,23,17,22,16,11,5,48
9/19/14,Fri,8,15,27,32,23,28,34,39,27,25,9,5,0,0,0,0,39
9/20/14,Sat,0,0,0,0,18,23,30,35,37,34,23,14,0,0,0,0,37
9/21/14,Sun,0,0,0,0,10,17,37,45,46,40,25,27,29,12,8,4,46
9/22/14,Mon,5,14,22,33,41,39,43,61,39,45,27,29,27,28,31,20,61
9/23/14,Tue,7,12,25,34,43,63,55,55,43,41,41,42,47,38,30,22,63
9/24/14,Wed,4,8,35,43,51,56,50,58,66,55,31,31,39,35,38,26,66
9/25/14,Thu,3,20,29,63,52,52,50,55,54,34,20,23,19,11,8,5,63
9/26/14,Fri,0,5,23,34,30,36,28,27,26,28,20,15,0,0,0,0,36
9/27/14,Sat,0,0,0,0,13,25,38,49,46,41,30,15,0,0,0,0,49
9/28/14,Sun,0,0,0,0,12,33,46,58,69,62,44,41,42,38,34,16,69
9/29/14,Mon,3,11,34,55,52,57,91,95,74,66,48,47,34,32,23,0,95
